Freq.	V(out)
1.00000000000000e+000	(-7.32204650560040e-005dB,-2.66758715009080e-001°)
1.02329299228075e+000	(-7.66712100446405e-005dB,-2.72972261728876e-001°)
1.04712854805090e+000	(-8.02845808139746e-005dB,-2.79330536112485e-001°)
1.07151930523761e+000	(-8.40682414109184e-005dB,-2.85836908983296e-001°)
1.09647819614318e+000	(-8.80302170545779e-005dB,-2.92494829658599e-001°)
1.12201845430196e+000	(-9.21789111370323e-005dB,-2.99307827776313e-001°)
1.14815362149688e+000	(-9.65231230768288e-005dB,-3.06279515164159e-001°)
1.17489755493953e+000	(-1.01072066945174e-004dB,-3.13413587752247e-001°)
1.20226443461741e+000	(-1.05835391038435e-004dB,-3.20713827530077e-001°)
1.23026877081238e+000	(-1.10823198309209e-004dB,-3.28184104548982e-001°)
1.25892541179417e+000	(-1.16046067800669e-004dB,-3.35828378971062e-001°)
1.28824955169313e+000	(-1.21515077097690e-004dB,-3.43650703165681e-001°)
1.31825673855641e+000	(-1.27241825779390e-004dB,-3.51655223854620e-001°)
1.34896288259165e+000	(-1.33238460048615e-004dB,-3.59846184307012e-001°)
1.38038426460288e+000	(-1.39517698470933e-004dB,-3.68227926585198e-001°)
1.41253754462275e+000	(-1.46092858947560e-004dB,-3.76804893842682e-001°)
1.44543977074593e+000	(-1.52977886956044e-004dB,-3.85581632675384e-001°)
1.47910838816821e+000	(-1.60187385123371e-004dB,-3.94562795527410e-001°)
1.51356124843621e+000	(-1.67736644164343e-004dB,-4.03753143152591e-001°)
1.54881661891248e+000	(-1.75641675328988e-004dB,-4.13157547133080e-001°)
1.58489319246111e+000	(-1.83919244344619e-004dB,-4.22780992456305e-001°)
1.62181009735893e+000	(-1.92586906950018e-004dB,-4.32628580151626e-001°)
1.65958690743756e+000	(-2.01663046122147e-004dB,-4.42705529988053e-001°)
1.69824365246174e+000	(-2.11166911058149e-004dB,-4.53017183234423e-001°)
1.73780082874937e+000	(-2.21118657968703e-004dB,-4.63569005483482e-001°)
1.77827941003892e+000	(-2.31539392814005e-004dB,-4.74366589541300e-001°)
1.81970085860998e+000	(-2.42451216063505e-004dB,-4.85415658383545e-001°)
1.86208713666287e+000	(-2.53877269508494e-004dB,-4.96722068180106e-001°)
1.90546071796325e+000	(-2.65841785359144e-004dB,-5.08291811389656e-001°)
1.94984459975804e+000	(-2.78370137578919e-004dB,-5.20131019925717e-001°)
1.99526231496888e+000	(-2.91488895701513e-004dB,-5.32245968395865e-001°)
2.04173794466953e+000	(-3.05225881101591e-004dB,-5.44643077415744e-001°)
2.08929613085404e+000	(-3.19610226010803e-004dB,-5.57328916999565e-001°)
2.13796208950223e+000	(-3.34672435232088e-004dB,-5.70310210028835e-001°)
2.18776162394955e+000	(-3.50444450800378e-004dB,-5.83593835801083e-001°)
2.23872113856834e+000	(-3.66959719678742e-004dB,-5.97186833660387e-001°)
2.29086765276777e+000	(-3.84253264630153e-004dB,-6.11096406711546e-001°)
2.34422881531992e+000	(-4.02361758452311e-004dB,-6.25329925619785e-001°)
2.39883291901949e+000	(-4.21323601670478e-004dB,-6.39894932497899e-001°)
2.45470891568503e+000	(-4.41179003918262e-004dB,-6.54799144882824e-001°)
2.51188643150958e+000	(-4.61970069121620e-004dB,-6.70050459803610e-001°)
2.57039578276886e+000	(-4.83740884721926e-004dB,-6.85656957942851e-001°)
2.63026799189538e+000	(-5.06537615049597e-004dB,-7.01626907893665e-001°)
2.69153480392691e+000	(-5.30408599159451e-004dB,-7.17968770514328e-001°)
2.75422870333816e+000	(-5.55404453203748e-004dB,-7.34691203382747e-001°)
2.81838293126445e+000	(-5.81578177658066e-004dB,-7.51803065352985e-001°)
2.88403150312660e+000	(-6.08985269576390e-004dB,-7.69313421216076e-001°)
2.95120922666638e+000	(-6.37683840135790e-004dB,-7.87231546467448e-001°)
3.01995172040201e+000	(-6.67734737695425e-004dB,-8.05566932183279e-001°)
3.09029543251359e+000	(-6.99201676657460e-004dB,-8.24329290008194e-001°)
3.16227766016837e+000	(-7.32151372373171e-004dB,-8.43528557256708e-001°)
3.23593656929628e+000	(-7.66653682411930e-004dB,-8.63174902130919e-001°)
3.31131121482591e+000	(-8.02781754435658e-004dB,-8.83278729056957e-001°)
3.38844156139202e+000	(-8.40612181073849e-004dB,-9.03850684142759e-001°)
3.46736850452531e+000	(-8.80225162020844e-004dB,-9.24901660759793e-001°)
3.54813389233575e+000	(-9.21704673787437e-004dB,-9.46442805251381e-001°)
3.63078054770101e+000	(-9.65138647436874e-004dB,-9.68485522770326e-001°)
3.71535229097172e+000	(-1.01061915464224e-003dB,-9.91041483248606e-001°)
3.80189396320560e+000	(-1.05824260247868e-003dB,-1.01412262750192e+000°)
3.89045144994280e+000	(-1.10810993739691e-003dB,-1.03774117347191e+000°)
3.98107170553496e+000	(-1.16032685876014e-003dB,-1.06190962260904e+000°)
4.07380277804112e+000	(-1.21500404238377e-003dB,-1.08664076639885e+000°)
4.16869383470335e+000	(-1.27225737460814e-003dB,-1.11194769303486e+000°)
4.26579518801592e+000	(-1.33220819731832e-003dB,-1.13784379424088e+000°)
4.36515832240165e+000	(-1.39498356448931e-003dB,-1.16434277224590e+000°)
4.46683592150962e+000	(-1.46071651074280e-003dB,-1.19145864691467e+000°)
4.57088189614874e+000	(-1.52954633252657e-003dB,-1.21920576303710e+000°)
4.67735141287197e+000	(-1.60161888243741e-003dB,-1.24759879777959e+000°)
4.78630092322637e+000	(-1.67708687739348e-003dB,-1.27665276830165e+000°)
4.89778819368445e+000	(-1.75611022121169e-003dB,-1.30638303954089e+000°)
5.01187233627271e+000	(-1.83885634229745e-003dB,-1.33680533216985e+000°)
5.12861383991364e+000	(-1.92550054718908e-003dB,-1.36793573072782e+000°)
5.24807460249771e+000	(-2.01622639062319e-003dB,-1.39979069193109e+000°)
5.37031796370252e+000	(-2.11122606293369e-003dB,-1.43238705316497e+000°)
5.49540873857623e+000	(-2.21070079557505e-003dB,-1.46574204116106e+000°)
5.62341325190348e+000	(-2.31486128565305e-003dB,-1.49987328086294e+000°)
5.75439937337156e+000	(-2.42392814025009e-003dB,-1.53479880448412e+000°)
5.88843655355588e+000	(-2.53813234156692e-003dB,-1.57053706076119e+000°)
6.02559586074356e+000	(-2.65771573379584e-003dB,-1.60710692440609e+000°)
6.16595001861481e+000	(-2.78293153272330e-003dB,-1.64452770576064e+000°)
6.30957344480192e+000	(-2.91404485913748e-003dB,-1.68281916065688e+000°)
6.45654229034654e+000	(-3.05133329712040e-003dB,-1.72200150048669e+000°)
6.60693448007594e+000	(-3.19508747841518e-003dB,-1.76209540248404e+000°)
6.76082975391980e+000	(-3.34561169399077e-003dB,-1.80312202022337e+000°)
6.91830970918935e+000	(-3.50322453417607e-003dB,-1.84510299433732e+000°)
7.07945784384136e+000	(-3.66825955855077e-003dB,-1.88806046345730e+000°)
7.24435960074988e+000	(-3.84106599705056e-003dB,-1.93201707538009e+000°)
7.41310241300916e+000	(-4.02200948370991e-003dB,-1.97699599846366e+000°)
7.58577575029182e+000	(-4.21147282447103e-003dB,-2.02302093325549e+000°)
7.76247116628690e+000	(-4.40985680074074e-003dB,-2.07011612435637e+000°)
7.94328234724279e+000	(-4.61758101021485e-003dB,-2.11830637252261e+000°)
8.12830516164097e+000	(-4.83508474672238e-003dB,-2.16761704700973e+000°)
8.31763771102669e+000	(-5.06282792091073e-003dB,-2.21807409816011e+000°)
8.51138038202374e+000	(-5.30129202354801e-003dB,-2.26970407023749e+000°)
8.70963589956078e+000	(-5.55098113343670e-003dB,-2.32253411451059e+000°)
8.91250938133743e+000	(-5.81242297196994e-003dB,-2.37659200258817e+000°)
9.12010839355907e+000	(-6.08617000640907e-003dB,-2.43190614000770e+000°)
9.33254300796988e+000	(-6.37280060409990e-003dB,-2.48850558007947e+000°)
9.54992586021433e+000	(-6.67292023994632e-003dB,-2.54642003798776e+000°)
9.77237220955808e+000	(-6.98716275953429e-003dB,-2.60567990515045e+000°)
9.99999999999997e+000	(-7.31619170036291e-003dB,-2.66631626383823e+000°)
1.02329299228075e+001	(-7.66070167387575e-003dB,-2.72836090205410e+000°)
1.04712854805090e+001	(-8.02141981091311e-003dB,-2.79184632867363e+000°)
1.07151930523760e+001	(-8.39910727349054e-003dB,-2.85680578884597e+000°)
1.09647819614318e+001	(-8.79456083585120e-003dB,-2.92327327965532e+000°)
1.12201845430196e+001	(-9.20861453779024e-003dB,-2.99128356604188e+000°)
1.14815362149688e+001	(-9.64214141354907e-003dB,-3.06087219698116e+000°)
1.17489755493953e+001	(-1.00960552995260e-002dB,-3.13207552191957e+000°)
1.20226443461741e+001	(-1.05713127243690e-002dB,-3.20493070746394e+000°)
1.23026877081238e+001	(-1.10689148849114e-002dB,-3.27947575432189e+000°)
1.25892541179416e+001	(-1.15899097118524e-002dB,-3.35574951448916e+000°)
1.28824955169313e+001	(-1.21353940289792e-002dB,-3.43379170867952e+000°)
1.31825673855640e+001	(-1.27065158100137e-002dB,-3.51364294399173e+000°)
1.34896288259165e+001	(-1.33044765373113e-002dB,-3.59534473180751e+000°)
1.38038426460288e+001	(-1.39305336667132e-002dB,-3.67893950591324e+000°)
1.41253754462275e+001	(-1.45860032031867e-002dB,-3.76447064083718e+000°)
1.44543977074592e+001	(-1.52722623918585e-002dB,-3.85198247039310e+000°)
1.47910838816820e+001	(-1.59907525293870e-002dB,-3.94152030641963e+000°)
