Freq.	V(out)
1.00000000000000e+000	(-2.28981849256877e-005dB,-1.77845517689146e-001°)
1.02329299228075e+000	(-2.38858917984477e-005dB,-1.81988064452874e-001°)
1.04712854805090e+000	(-2.49161584172303e-005dB,-1.86227105404299e-001°)
1.07151930523761e+000	(-2.59997746576712e-005dB,-1.90564883811300e-001°)
1.09647819614318e+000	(-2.71301307939457e-005dB,-1.95003701782058e-001°)
1.12201845430196e+000	(-2.83145590694109e-005dB,-1.99545911770075e-001°)
1.14815362149688e+000	(-2.95571304862988e-005dB,-2.04193923710929e-001°)
1.17489755493953e+000	(-3.08566246432437e-005dB,-2.08950200797335e-001°)
1.20226443461741e+000	(-3.22186497188017e-005dB,-2.13817266434210e-001°)
1.23026877081238e+000	(-3.36435012269698e-005dB,-2.18797697282985e-001°)
1.25892541179417e+000	(-3.51362547089845e-005dB,-2.23894136848235e-001°)
1.28824955169313e+000	(-3.66966456904632e-005dB,-2.29109288556001e-001°)
1.31825673855641e+000	(-3.83342268007501e-005dB,-2.34445912813213e-001°)
1.34896288259165e+000	(-4.00460972516045e-005dB,-2.39906845601376e-001°)
1.38038426460288e+000	(-4.18411714183116e-005dB,-2.45494975779426e-001°)
1.41253754462275e+000	(-4.37189148596970e-005dB,-2.51213268688012e-001°)
1.44543977074593e+000	(-4.56865206455681e-005dB,-2.57064763293758e-001°)
1.47910838816821e+000	(-4.77457654619674e-005dB,-2.63052546806033e-001°)
1.51356124843621e+000	(-4.99040820536531e-005dB,-2.69179805030376e-001°)
1.54881661891248e+000	(-5.21624325509456e-005dB,-2.75449785320299e-001°)
1.58489319246111e+000	(-5.45264042153853e-005dB,-2.81865810257040e-001°)
1.62181009735893e+000	(-5.70011308683143e-005dB,-2.88431282503307e-001°)
1.65958690743756e+000	(-5.95963338248454e-005dB,-2.95149678305774e-001°)
1.69824365246174e+000	(-6.23121306479312e-005dB,-3.02024565366216e-001°)
1.73780082874937e+000	(-6.51541921263864e-005dB,-3.09059588338240e-001°)
1.77827941003892e+000	(-6.81327018797225e-005dB,-3.16258477152967e-001°)
1.81970085860998e+000	(-7.12502027702213e-005dB,-3.23625041586635e-001°)
1.86208713666287e+000	(-7.45157083960046e-005dB,-3.31163195116520e-001°)
1.90546071796325e+000	(-7.79325594238541e-005dB,-3.38876934468988e-001°)
1.94984459975804e+000	(-8.15115374380574e-005dB,-3.46770345125383e-001°)
1.99526231496888e+000	(-8.52597045304517e-005dB,-3.54847610910653e-001°)
2.04173794466953e+000	(-8.91864366582987e-005dB,-3.63113017569491e-001°)
2.08929613085404e+000	(-9.32953023943478e-005dB,-3.71570952436180e-001°)
2.13796208950223e+000	(-9.75971932386722e-005dB,-3.80225886643917e-001°)
2.18776162394955e+000	(-1.02104181349886e-004dB,-3.89082416582377e-001°)
2.23872113856834e+000	(-1.06823436857106e-004dB,-3.98145241954560e-001°)
2.29086765276777e+000	(-1.11764279280498e-004dB,-4.07419156084555e-001°)
2.34422881531992e+000	(-1.16940118013277e-004dB,-4.16909086052543e-001°)
2.39883291901949e+000	(-1.22357324895182e-004dB,-4.26620057160819e-001°)
2.45470891568503e+000	(-1.28028312800498e-004dB,-4.36557215240162e-001°)
2.51188643150958e+000	(-1.33968442469736e-004dB,-4.46725838208725e-001°)
2.57039578276886e+000	(-1.40189934515451e-004dB,-4.57131312434484e-001°)
2.63026799189538e+000	(-1.46701796696123e-004dB,-4.67779152736319e-001°)
2.69153480392691e+000	(-1.53523929529043e-004dB,-4.78675001486564e-001°)
2.75422870333816e+000	(-1.60664809128330e-004dB,-4.89824640776023e-001°)
2.81838293126445e+000	(-1.68144711670120e-004dB,-5.01233973684550e-001°)
2.88403150312660e+000	(-1.75975387245520e-004dB,-5.12909056526620e-001°)
2.95120922666638e+000	(-1.84174171545224e-004dB,-5.24856084655702e-001°)
3.01995172040201e+000	(-1.92760903502173e-004dB,-5.37081380656568e-001°)
3.09029543251359e+000	(-2.01750737515834e-004dB,-5.49591423945742e-001°)
3.16227766016837e+000	(-2.11166208550690e-004dB,-5.62392848204951e-001°)
3.23593656929628e+000	(-2.21028060881393e-004dB,-5.75492437515435e-001°)
3.31131121482591e+000	(-2.31347033811410e-004dB,-5.88897155830418e-001°)
3.38844156139202e+000	(-2.42157254283180e-004dB,-6.02614079197645e-001°)
3.46736850452531e+000	(-2.53477572764992e-004dB,-6.16650493286782e-001°)
3.54813389233575e+000	(-2.65331776176460e-004dB,-6.31013841401086e-001°)
